,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,initial_list_status,application_type
302,65170121,69696860,19425,19425,19425.0,0,12.05,645.65,C,10,General Manager,4,0,61000.0,Source Verified,10,1,https://lendingclub.com/browse/loanDetail.action?loan_id=65170121,,credit_card,Credit card refinancing,281xx,NC,32.08,0,Feb-08,0,12,0,60.3,29,1,INDIVIDUAL
305,75698498,81166222,18000,18000,18000.0,1,16.29,440.37,D,15,Mechanic,8,2,72000.0,Verified,5,1,https://lendingclub.com/browse/loanDetail.action?loan_id=75698498,,debt_consolidation,Debt consolidation,959xx,CA,10.1,0,Mar-04,0,8,1,30.7,17,1,INDIVIDUAL
310,24625616,27058531,10000,10000,10000.0,0,12.99,337.05,C,10,Escrow Officer/Closer,1,2,38000.0,Source Verified,24,1,https://lendingclub.com/browse/loanDetail.action?loan_id=24625616,Borrower added on 08/13/10 > Im planning to use the funds to pay off credit card bills in an organized manner.<br/>,debt_consolidation,Debt consolidation,622xx,IL,17.41,0,Apr-99,2,16,1,15.6,58,1,INDIVIDUAL
314,1178779,1420110,21600,21600,21575.0,1,19.22,562.83,D,19,Krugel Cobbles,5,0,45000.0,Verified,54,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1178779,Borrower added on 09/26/13 > Pay off previous loans and credit cards<br>,credit_card,Credit Card Loan,600xx,IL,17.97,1,Jun-98,3,12,0,87.2,22,0,INDIVIDUAL
317,2895692,3527982,4000,4000,4000.0,0,18.75,146.22,D,17,"Williams Products, Inc.",8,2,52000.0,Verified,44,1,https://lendingclub.com/browse/loanDetail.action?loan_id=2895692,Borrower added on 12/30/12 > I am paying down high interest credit cards to save money.<br>,credit_card,Pay Off,760xx,TX,27.05,0,Jan-90,3,17,2,56.1,25,0,INDIVIDUAL
322,71056047,76127892,26400,26400,26400.0,0,7.39,819.84,A,3,Plumber,10,0,125000.0,Source Verified,7,1,https://lendingclub.com/browse/loanDetail.action?loan_id=71056047,,debt_consolidation,Debt consolidation,940xx,CA,15.16,0,Feb-04,0,5,0,24.0,24,1,INDIVIDUAL
332,59092755,62980584,30000,30000,30000.0,1,13.33,687.52,C,12,Truck driver,1,2,72000.0,Source Verified,12,1,https://lendingclub.com/browse/loanDetail.action?loan_id=59092755,,debt_consolidation,Debt consolidation,121xx,NY,23.73,0,May-98,0,18,0,35.8,26,1,INDIVIDUAL
367,56390316,60062029,18900,18900,18900.0,0,13.33,639.69,C,12,server/manager,10,0,45000.0,Not Verified,14,1,https://lendingclub.com/browse/loanDetail.action?loan_id=56390316,,debt_consolidation,Debt consolidation,916xx,CA,26.32,0,Aug-99,2,9,0,57.0,18,1,INDIVIDUAL
394,55230866,58811649,30000,30000,30000.0,0,9.17,956.42,B,6,Instructor,5,2,65000.0,Verified,14,1,https://lendingclub.com/browse/loanDetail.action?loan_id=55230866,,debt_consolidation,Debt consolidation,967xx,HI,17.59,0,Aug-94,0,8,0,21.5,22,1,INDIVIDUAL
395,46255806,49363561,12275,12275,12275.0,0,10.99,401.64,B,8,maintenance supervisor,8,2,42000.0,Not Verified,17,1,https://lendingclub.com/browse/loanDetail.action?loan_id=46255806,Borrower added on 01/19/14 > WANT TO PAY OFF 3 CREDIT CARDS WITH MUCH HIGHER INTEREST RATES<br>,debt_consolidation,Debt consolidation,707xx,LA,14.86,0,Feb-92,2,10,0,44.2,17,0,INDIVIDUAL
404,15439628,17512075,7125,7125,7125.0,0,15.61,249.09,C,14,Sales,10,0,65000.0,Verified,29,1,https://lendingclub.com/browse/loanDetail.action?loan_id=15439628,,debt_consolidation,Debt consolidation,212xx,MD,27.1,0,Feb-88,1,12,0,73.6,38,1,INDIVIDUAL
415,34934598,37617928,20000,20000,20000.0,0,14.99,693.07,C,14,Accounts payable,10,0,61499.0,Source Verified,22,1,https://lendingclub.com/browse/loanDetail.action?loan_id=34934598,,debt_consolidation,Debt consolidation,902xx,CA,25.12,1,Apr-03,0,14,0,71.9,34,0,INDIVIDUAL
426,5787520,7219698,6400,6400,6400.0,0,19.05,234.89,D,18,City Of Santa Cruz,10,0,85000.0,Not Verified,39,1,https://lendingclub.com/browse/loanDetail.action?loan_id=5787520,,other,Other,950xx,CA,15.16,0,Aug-98,1,10,0,85.4,18,0,INDIVIDUAL
429,63498920,67841741,25000,25000,24975.0,1,19.19,650.91,E,22,Operator,3,0,73000.0,Source Verified,10,1,https://lendingclub.com/browse/loanDetail.action?loan_id=63498920,,credit_card,Credit card refinancing,923xx,CA,11.58,0,Dec-04,1,7,1,30.2,13,0,INDIVIDUAL
432,61228197,65346912,25000,25000,25000.0,1,20.99,676.45,E,24,Manager,10,1,68000.0,Source Verified,11,1,https://lendingclub.com/browse/loanDetail.action?loan_id=61228197,,credit_card,Credit card refinancing,336xx,FL,25.8,0,Oct-99,1,17,0,49.9,38,1,INDIVIDUAL
435,3108351,3780926,16975,16975,16975.0,1,16.29,415.26,C,13,Pat Salmon/Mail Contractors of America,1,0,42000.0,Source Verified,44,1,https://lendingclub.com/browse/loanDetail.action?loan_id=3108351,,debt_consolidation,Almost all in one,206xx,MD,11.06,0,Jul-77,0,7,0,79.6,15,0,INDIVIDUAL
444,31277209,33850430,25000,25000,25000.0,0,8.39,788.3,A,4,Administrator,10,2,58000.0,Source Verified,23,1,https://lendingclub.com/browse/loanDetail.action?loan_id=31277209,,credit_card,Credit card refinancing,130xx,NY,40.04,0,Nov-95,0,23,0,39.2,49,0,INDIVIDUAL
454,36341211,39072609,15000,15000,15000.0,0,11.99,497.94,B,9,cleaning or sweeping,-1,1,80000.0,Verified,21,1,https://lendingclub.com/browse/loanDetail.action?loan_id=36341211,,debt_consolidation,Debt consolidation,968xx,HI,12.16,0,Sep-04,0,5,1,63.5,11,0,INDIVIDUAL
461,74581976,79958712,10000,10000,10000.0,0,7.39,310.34,A,3,Clerk,10,2,60000.0,Source Verified,6,1,https://lendingclub.com/browse/loanDetail.action?loan_id=74581976,,home_improvement,Home improvement,070xx,NJ,26.82,1,Jul-97,2,14,0,29.2,39,1,INDIVIDUAL
466,39719358,42543081,9825,9825,9825.0,0,19.24,361.22,E,21,PHLEBOTOMIST,9,1,26000.0,Not Verified,20,1,https://lendingclub.com/browse/loanDetail.action?loan_id=39719358,,other,Other,452xx,OH,14.78,1,Jan-00,1,12,0,7.5,59,0,INDIVIDUAL
475,58492597,62333317,11000,11000,11000.0,1,17.57,276.55,D,18,Insurance Auditor & VT Tech,1,0,27700.0,Source Verified,12,1,https://lendingclub.com/browse/loanDetail.action?loan_id=58492597,,debt_consolidation,Debt consolidation,325xx,FL,36.8,0,Nov-88,1,20,1,11.7,41,1,INDIVIDUAL
497,60824248,64866093,12000,12000,12000.0,0,12.69,402.66,C,11,Regional marketing director,-1,2,90000.0,Source Verified,11,1,https://lendingclub.com/browse/loanDetail.action?loan_id=60824248,,debt_consolidation,Debt consolidation,958xx,CA,19.93,0,Mar-86,1,17,0,66.3,28,1,INDIVIDUAL
505,32909860,35553081,26625,26625,26625.0,0,10.99,871.57,B,7,RN,4,0,58000.0,Verified,22,1,https://lendingclub.com/browse/loanDetail.action?loan_id=32909860,,debt_consolidation,Debt consolidation,981xx,WA,12.4,0,Nov-01,0,12,0,51.0,21,1,INDIVIDUAL
521,15360416,17432842,12000,12000,12000.0,1,15.61,289.57,C,14,Lead Solutions Engineer,3,0,115720.0,Source Verified,29,1,https://lendingclub.com/browse/loanDetail.action?loan_id=15360416,,debt_consolidation,Debt consolidation,940xx,CA,19.05,1,Mar-02,0,11,0,60.0,26,1,INDIVIDUAL
529,36360399,39091722,12000,12000,12000.0,0,13.66,408.14,C,12,Patient Financial Services,1,1,34000.0,Not Verified,22,1,https://lendingclub.com/browse/loanDetail.action?loan_id=36360399,,debt_consolidation,Debt consolidation,220xx,VA,19.06,1,Jun-05,1,9,0,55.3,16,1,INDIVIDUAL
534,70945082,76036905,23000,23000,23000.0,1,14.46,540.67,C,13,Auto Appraiser,1,0,64000.0,Verified,7,1,https://lendingclub.com/browse/loanDetail.action?loan_id=70945082,,debt_consolidation,Debt consolidation,060xx,CT,13.1,0,Apr-00,0,11,0,72.3,17,1,INDIVIDUAL
541,61388670,65507396,10000,10000,10000.0,1,13.99,232.5,C,13,teacher,10,1,51000.0,Not Verified,11,1,https://lendingclub.com/browse/loanDetail.action?loan_id=61388670,,debt_consolidation,Debt consolidation,350xx,AL,15.66,0,Apr-99,0,4,0,74.7,20,0,INDIVIDUAL
560,81008268,86743987,24000,24000,24000.0,1,16.29,587.45,D,15,Welder,6,2,114000.0,Source Verified,3,1,https://lendingclub.com/browse/loanDetail.action?loan_id=81008268,,debt_consolidation,,498xx,MI,19.57,0,Mar-93,2,7,0,88.0,13,1,INDIVIDUAL
578,3528916,4421535,18825,18825,18825.0,1,14.33,441.11,C,10,ingram micro,10,0,42000.0,Verified,40,1,https://lendingclub.com/browse/loanDetail.action?loan_id=3528916,,debt_consolidation,Debt consolidation,601xx,IL,17.3,1,Sep-97,0,9,0,66.1,24,1,INDIVIDUAL
583,74172564,79536291,14925,14925,14925.0,1,28.34,467.94,G,32,teacher,10,0,55000.0,Verified,6,1,https://lendingclub.com/browse/loanDetail.action?loan_id=74172564,,house,Home buying,330xx,FL,14.14,0,Jan-05,2,5,1,22.7,41,1,INDIVIDUAL
590,6175427,7667566,2500,2500,2500.0,1,25.83,74.62,G,31,Las Vegas la express,6,0,38950.0,Verified,38,1,https://lendingclub.com/browse/loanDetail.action?loan_id=6175427,,debt_consolidation,Loan,923xx,CA,3.26,0,Aug-04,2,6,0,56.7,7,0,INDIVIDUAL
608,54047323,57588044,15000,15000,14975.0,0,15.61,524.37,D,15,Administrative Secretary,2,0,40000.0,Source Verified,14,1,https://lendingclub.com/browse/loanDetail.action?loan_id=54047323,,debt_consolidation,Debt consolidation,135xx,NY,26.42,0,Mar-08,0,12,0,71.9,19,0,INDIVIDUAL
621,38616455,41400262,6000,6000,6000.0,0,14.99,207.97,C,14,Geologist,-1,0,21548.0,Verified,20,1,https://lendingclub.com/browse/loanDetail.action?loan_id=38616455,,debt_consolidation,Debt consolidation,864xx,AZ,38.95,0,Dec-01,1,9,0,75.8,19,0,INDIVIDUAL
623,6786880,8408954,5000,5000,5000.0,0,19.2,183.68,D,17,PacifiCorp Energy,10,2,105000.0,Not Verified,36,1,https://lendingclub.com/browse/loanDetail.action?loan_id=6786880,Borrower added on 09/15/13 > Refinancing of debt. I have been lowering my interest this year on existing debt and this loan will save a little in financing charges currently being paid.<br>,medical,Medical expenses,972xx,OR,15.84,0,Sep-94,1,12,1,71.1,28,0,INDIVIDUAL
626,39581558,42405367,10600,10600,10600.0,0,16.99,377.91,D,17,Food & Beverage Manager,5,0,35000.0,Verified,19,1,https://lendingclub.com/browse/loanDetail.action?loan_id=39581558,,debt_consolidation,Debt consolidation,922xx,CA,27.42,0,Jun-94,0,14,1,49.4,27,1,INDIVIDUAL
641,1409402,1658930,8400,8400,8400.0,1,18.49,215.54,D,16,Dept of Veterans Affairs,6,2,44000.0,Verified,50,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1409402,Borrower added on 01/31/14 > I would like the loan for updates within my home.... (The outside is nice and in a great location. ...situated in front of a large fountained pond)....I have about the same amount in my savings that I am requesting to borrow but I feel the need to keep it intact incase of an emergency.<br>,other,Other,337xx,FL,22.61,0,Jul-00,1,19,0,34.6,36,0,INDIVIDUAL
674,6385814,7917921,16000,16000,15950.0,0,11.55,528.04,B,7,FRANK FLETCHER HONDA,1,0,100000.0,Verified,37,1,https://lendingclub.com/browse/loanDetail.action?loan_id=6385814,,credit_card,credit card,652xx,MO,16.25,0,Oct-01,0,8,0,77.4,19,0,INDIVIDUAL
676,28673507,31206672,1400,1400,1400.0,0,18.99,51.05,E,20,Financial Management Analyst,-1,0,17600.0,Source Verified,23,1,https://lendingclub.com/browse/loanDetail.action?loan_id=28673507,,debt_consolidation,Debt consolidation,191xx,PA,10.87,0,Nov-88,1,5,0,75.7,6,0,INDIVIDUAL
683,55360434,58962154,16000,16000,16000.0,0,12.69,536.58,C,11,Landscape Division Manager,-1,2,70000.0,Verified,14,1,https://lendingclub.com/browse/loanDetail.action?loan_id=55360434,,debt_consolidation,Debt consolidation,254xx,WV,30.19,0,Jun-02,0,12,0,48.6,20,0,INDIVIDUAL
686,66006127,70700880,25000,25000,24950.0,1,14.48,588.03,C,14,Program Manager,1,2,88000.0,Verified,9,1,https://lendingclub.com/browse/loanDetail.action?loan_id=66006127,,debt_consolidation,Debt consolidation,559xx,MN,30.93,1,Feb-80,1,29,0,13.8,51,0,INDIVIDUAL
687,6816680,8438766,8000,8000,8000.0,0,18.85,292.4,D,17,University of Utah,5,2,65000.0,Verified,37,1,https://lendingclub.com/browse/loanDetail.action?loan_id=6816680,,debt_consolidation,Debt Consolidation,840xx,UT,20.69,3,May-98,3,25,2,54.5,44,0,INDIVIDUAL
707,48150542,51390269,31975,31975,31975.0,1,17.57,804.66,D,18,Retail Buyer/SPRV,10,2,64093.0,Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=48150542,,debt_consolidation,Debt consolidation,462xx,IN,29.52,0,Aug-03,0,5,0,84.8,16,1,INDIVIDUAL
710,1388439,1634407,15000,15000,15000.0,0,19.05,550.29,D,18,The Arbors,5,0,55000.0,Not Verified,50,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1388439,Borrower added on 06/26/12 > Debt consolidation. I pay more than what is required by my credit card co.  with this loan I'll save $412.66 a mo. Thats an extra car payment!<br>,debt_consolidation,Debt consolidation,054xx,VT,22.17,0,Nov-00,0,15,0,58.0,17,0,INDIVIDUAL
715,49157515,52466238,11675,11675,11675.0,1,19.19,304.06,E,22,Tech,8,2,45000.0,Source Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=49157515,,debt_consolidation,Debt consolidation,324xx,FL,33.27,0,Aug-09,0,10,0,54.3,16,0,INDIVIDUAL
731,52027849,55457596,20000,20000,20000.0,0,12.29,666.9,C,10,Chief of FMWR,10,2,101000.0,Source Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=52027849,,debt_consolidation,Debt consolidation,232xx,VA,3.85,1,Jan-03,0,7,0,89.9,16,0,INDIVIDUAL
734,5948792,7421261,19000,19000,19000.0,0,16.78,675.63,C,14,MetLang,5,0,72000.0,Not Verified,38,1,https://lendingclub.com/browse/loanDetail.action?loan_id=5948792,"Borrower added on 06/26/13 > I have a couple of debts that I been paying for quite sometime, I just want to have one payment a month rather than multiple payments of high interest.<br>",debt_consolidation,My Loan,104xx,NY,15.96,0,Nov-93,2,14,0,41.4,23,0,INDIVIDUAL
736,6899858,8541774,9600,9600,9600.0,0,11.55,316.52,B,7,Commonwealth Management co.,2,1,37000.0,Not Verified,36,1,https://lendingclub.com/browse/loanDetail.action?loan_id=6899858,"Borrower added on 08/27/13 > I paid cash for my home and did some renovations and would like to consolidate the debt I incurred to improve my home,  without the worry of high intrest rates<br>",debt_consolidation,consolidation,530xx,WI,9.92,0,Jan-02,0,6,0,50.2,8,0,INDIVIDUAL
742,47108126,50316839,7200,7200,7200.0,0,12.29,239.83,C,10,Hr.,3,0,37000.0,Not Verified,16,1,https://lendingclub.com/browse/loanDetail.action?loan_id=47108126,,credit_card,Credit card refinancing,920xx,CA,29.99,1,Dec-00,0,12,0,48.0,14,1,INDIVIDUAL
746,65601712,70244447,11725,11725,11725.0,0,18.99,429.58,E,22,Installer,3,0,37000.0,Source Verified,10,1,https://lendingclub.com/browse/loanDetail.action?loan_id=65601712,,other,Other,900xx,CA,23.93,0,Mar-05,0,8,1,44.9,11,0,INDIVIDUAL
749,34362977,37026311,10000,10000,10000.0,0,10.49,325.02,B,7,"Gap, Inc",-1,2,92025.25,Source Verified,22,1,https://lendingclub.com/browse/loanDetail.action?loan_id=34362977,,debt_consolidation,Debt consolidation,303xx,GA,20.45,3,Oct-68,0,19,0,84.7,32,0,INDIVIDUAL
751,77585784,83200667,6000,6000,6000.0,0,23.99,235.5,E,23,Barista,1,0,20000.0,Not Verified,4,1,https://lendingclub.com/browse/loanDetail.action?loan_id=77585784,,debt_consolidation,Home Improvement Loan,344xx,FL,13.39,0,Jul-06,0,3,0,92.0,7,0,INDIVIDUAL
761,52466251,55955970,12000,12000,12000.0,0,13.99,409.81,C,13,Maintainance,3,2,50000.0,Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=52466251,Borrower added on 07/05/13 > My loan is to to pay my credit card debit as fast as possible. want to try to purchase home soon will be able to pay debit off faster with lower interest<br>,debt_consolidation,Debt consolidation,304xx,GA,18.53,0,Dec-02,1,14,1,52.5,25,0,INDIVIDUAL
762,32469648,35072945,3475,3475,3475.0,0,15.61,121.51,D,15,President,5,2,220000.0,Not Verified,23,1,https://lendingclub.com/browse/loanDetail.action?loan_id=32469648,Borrower added on 11/13/13 > This is a debt consolidation loan to pay off all Credit Card and loan debts as a part of a 3 year plan to be completely debt free.<br>,debt_consolidation,Debt consolidation,120xx,NY,7.43,7,Sep-86,0,5,1,52.0,27,0,INDIVIDUAL
766,68484618,73374384,7000,7000,7000.0,0,9.17,222.62,B,6,psychologist,6,0,100143.0,Not Verified,9,1,https://lendingclub.com/browse/loanDetail.action?loan_id=68484618,,medical,Medical expenses,980xx,WA,24.32,0,Aug-00,0,12,0,35.9,21,1,INDIVIDUAL
780,1433080,1684242,12000,12000,12000.0,0,10.16,388.1,B,5,Spirit Aero Systems,6,2,56000.0,Not Verified,49,1,https://lendingclub.com/browse/loanDetail.action?loan_id=1433080,Borrower added on 07/19/12 > wanting to pay off current credit cards<br>,credit_card,better chance,672xx,KS,28.17,0,Dec-98,0,11,0,53.7,22,0,INDIVIDUAL
781,8639901,10411629,20000,20000,19975.0,0,10.99,654.51,B,6,Bus driver,5,0,67000.0,Verified,34,1,https://lendingclub.com/browse/loanDetail.action?loan_id=8639901,,debt_consolidation,debt consolidation,112xx,NY,22.43,0,Nov-99,1,12,0,39.3,20,0,INDIVIDUAL
782,68945051,73867842,20450,20450,20450.0,1,17.97,519.02,D,18,team leader,9,0,115000.0,Not Verified,8,1,https://lendingclub.com/browse/loanDetail.action?loan_id=68945051,,home_improvement,Home improvement,750xx,TX,15.26,0,Jun-08,3,13,0,15.9,25,1,INDIVIDUAL
786,30125320,32668504,24000,24000,24000.0,1,14.49,564.4,C,13,General manager,10,2,200000.0,Source Verified,23,1,https://lendingclub.com/browse/loanDetail.action?loan_id=30125320,,debt_consolidation,Debt consolidation,010xx,MA,19.12,0,Jul-97,0,17,0,81.8,29,1,INDIVIDUAL
