,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_util,total_acc,initial_list_status,application_type,RESULT
10,55584504,59186240,15000,15000,15000.0,0,6.24,458.08,A,1,,-1,2,34000.0,Not Verified,14,0,https://lendingclub.com/browse/loanDetail.action?loan_id=55584504,,debt_consolidation,Debt consolidation,378xx,TN,17.2,0,1-Jul,0,10,0,1.9,22,1,INDIVIDUAL,RIGHT
11,7955033,9677159,10000,10000,10000.0,0,17.76,360.42,D,15,PREMISES TECH,2,0,48000.0,Not Verified,35,0,https://lendingclub.com/browse/loanDetail.action?loan_id=7955033,,credit_card,REFINANCE,432xx,OH,14.69,0,Nov-95,1,10,1,64.2,18,0,INDIVIDUAL,RIGHT
12,74535181,79911961,28800,28800,28800.0,1,11.47,633.22,B,9,Supervisory IT Specialist,10,2,140840.0,Source Verified,6,0,https://lendingclub.com/browse/loanDetail.action?loan_id=74535181,,credit_card,Credit card refinancing,200xx,DC,5.85,0,4-Sep,0,5,0,52.8,11,0,INDIVIDUAL,RIGHT
13,49894146,53262885,10000,10000,10000.0,0,15.61,349.59,D,15,Family Support Worker,1,0,32000.0,Verified,16,0,https://lendingclub.com/browse/loanDetail.action?loan_id=49894146,,debt_consolidation,Debt consolidation,100xx,NY,27.12,0,6-Feb,0,14,0,68.6,17,1,INDIVIDUAL,WRONG
14,86166469,92347187,12000,12000,12000.0,1,15.59,289.26,C,14,Teacher,10,2,72000.0,Not Verified,1,0,https://lendingclub.com/browse/loanDetail.action?loan_id=86166469,,home_improvement,Home improvement,601xx,IL,29.07,0,6-Feb,0,21,1,83.2,57,1,INDIVIDUAL,RIGHT
15,13878165,15930487,24450,24450,24450.0,1,17.57,615.21,D,16,Teacher,10,2,135000.0,Verified,29,0,https://lendingclub.com/browse/loanDetail.action?loan_id=13878165,,debt_consolidation,Debt consolidation,107xx,NY,23.59,0,Feb-87,4,10,0,82.2,21,0,INDIVIDUAL,RIGHT
16,1444708,1697099,8000,8000,7950.0,0,7.9,250.14,A,3,"Auralog, Inc.",3,2,100000.0,Verified,48,0,https://lendingclub.com/browse/loanDetail.action?loan_id=1444708,Borrower added on 08/22/12 > I am working very hard to pay off all of my credit card debt - I have never been late on a payment and have made a goal to lower all of my interest rates as much as possible so that our payments go farther.  This loan will help me out tremendously.<br>,debt_consolidation,Pay off Credit Card Debt,850xx,AZ,20.6,0,Aug-93,2,17,0,53.3,35,0,INDIVIDUAL,RIGHT
17,420050,493057,9600,9600,9575.0,0,19.16,352.8,G,31,St. John of the Cross,7,0,34800.0,Verified,87,0,https://lendingclub.com/browse/loanDetail.action?loan_id=420050,I will use this loan to assist me in opening my Massage Therapy business.  I have been working part time in an existing Massage Therapy business and have witnessed business operations and high profits.  A small space will cost $300-$500 a month.  It is common for me to make this amount in two days working part time.  I will also hire another massage therapist as an independent contractor.    I am educated in Massage Therapy and see this opportunity as a good future.,small_business,Business loan,919xx,CA,5.97,0,Jul-93,1,6,1,81.6,15,0,INDIVIDUAL,WRONG
18,23934752,26307512,14000,14000,14000.0,0,13.98,478.61,C,12,chief engineer,2,1,75000.0,Not Verified,25,0,https://lendingclub.com/browse/loanDetail.action?loan_id=23934752,,debt_consolidation,Debt consolidation,444xx,OH,17.86,0,2-Sep,2,11,1,62.0,28,0,INDIVIDUAL,WRONG
19,78921242,84591955,16000,16000,16000.0,0,18.99,586.38,D,18,,-1,0,74000.0,Verified,4,0,https://lendingclub.com/browse/loanDetail.action?loan_id=78921242,,debt_consolidation,Debt consolidation,945xx,CA,23.69,0,Mar-00,2,32,0,36.9,35,1,INDIVIDUAL,RIGHT
20,27611786,30114915,11325,11325,11325.0,0,14.49,389.68,C,13,Business & Employment Specialist,10,0,54000.0,Source Verified,23,0,https://lendingclub.com/browse/loanDetail.action?loan_id=27611786,,debt_consolidation,Debt consolidation,970xx,OR,24.43,0,Jun-88,1,11,2,46.0,23,1,INDIVIDUAL,WRONG
21,30825749,33378915,26850,26850,26850.0,1,19.52,704.17,E,21,Database Administrator,5,2,108000.0,Source Verified,23,1,https://lendingclub.com/browse/loanDetail.action?loan_id=30825749,,debt_consolidation,Debt consolidation,801xx,CO,27.88,2,Nov-95,0,9,0,83.2,25,0,INDIVIDUAL,RIGHT
22,62195241,66391954,24000,24000,24000.0,1,13.33,550.05,C,12,Subcontract Administrator,1,0,95000.0,Source Verified,11,0,https://lendingclub.com/browse/loanDetail.action?loan_id=62195241,,debt_consolidation,Debt consolidation,207xx,MD,22.45,0,5-Jan,2,7,0,83.0,18,0,INDIVIDUAL,RIGHT
23,46349926,49487799,30000,30000,30000.0,1,18.25,766.18,E,20,Senior Engineer,8,2,94000.0,Verified,17,0,https://lendingclub.com/browse/loanDetail.action?loan_id=46349926,,debt_consolidation,Debt consolidation,486xx,MI,16.6,0,Sep-98,0,9,2,38.0,27,1,INDIVIDUAL,WRONG
24,51956666,55386386,35000,35000,35000.0,0,7.89,1095.23,A,4,director,10,2,250000.0,Source Verified,15,0,https://lendingclub.com/browse/loanDetail.action?loan_id=51956666,,credit_card,Credit card refinancing,606xx,IL,9.18,1,Nov-95,0,24,0,38.9,53,1,INDIVIDUAL,WRONG
25,51115705,54525439,17275,17275,17275.0,0,25.78,694.08,F,29,lpn,3,2,40000.0,Source Verified,15,1,https://lendingclub.com/browse/loanDetail.action?loan_id=51115705,,debt_consolidation,Debt consolidation,300xx,GA,7.05,0,Sep-89,1,7,1,47.0,15,1,INDIVIDUAL,WRONG
26,27581074,30084189,9000,9000,9000.0,0,7.12,278.38,A,2,,-1,2,28000.0,Verified,24,0,https://lendingclub.com/browse/loanDetail.action?loan_id=27581074,,debt_consolidation,Debt consolidation,321xx,FL,27.25,0,Jan-99,0,16,1,28.1,42,1,INDIVIDUAL,WRONG
27,3297917,4070507,5500,5500,5475.0,0,13.11,185.57,B,8,Bank Of The Cascades,6,2,42000.0,Not Verified,43,0,https://lendingclub.com/browse/loanDetail.action?loan_id=3297917,"Borrower added on 01/28/13 > Looking to pay off credit cards.  I want to be debt free in 4 years.  Will be paying off my BOTC with a personal loan at 0%, and my 19% USB card with this loan, leaving me to work on paying off my low interest cards on my own!<br>",debt_consolidation,Debt and Stress Free,977xx,OR,19.75,0,1-Oct,0,8,0,87.7,21,0,INDIVIDUAL,WRONG
28,1353735,1598107,5000,5000,4750.0,0,7.9,156.31,A,3,Level3 Communications,10,2,54000.0,Not Verified,50,0,https://lendingclub.com/browse/loanDetail.action?loan_id=1353735,Borrower added on 06/20/12 > I plan on doing a bathroom remodel and paying off some small balance credit cards.  I have worked at my current job for 13 years.<br>,home_improvement,Homeloan,741xx,OK,15.7,0,2-May,0,11,0,46.8,36,0,INDIVIDUAL,WRONG
29,71107978,76226702,24000,24000,24000.0,0,18.25,870.63,D,17,Quality Reviewer,10,0,65000.0,Verified,7,0,https://lendingclub.com/browse/loanDetail.action?loan_id=71107978,,debt_consolidation,Debt consolidation,344xx,FL,44.47,0,1-Jul,1,19,0,73.2,35,1,DIRECT_PAY,WRONG
30,56058251,59719985,2000,2000,2000.0,0,9.99,64.4,B,7,assembly,6,0,40000.0,Source Verified,13,0,https://lendingclub.com/browse/loanDetail.action?loan_id=56058251,,medical,Medical expenses,494xx,MI,8.34,0,Oct-94,0,9,0,11.5,16,1,INDIVIDUAL,RIGHT
31,61441158,65559944,9000,9000,9000.0,0,10.99,294.45,B,8,Superintendent,9,2,45052.8,Source Verified,11,0,https://lendingclub.com/browse/loanDetail.action?loan_id=61441158,,debt_consolidation,Debt consolidation,285xx,NC,9.73,7,5-Aug,0,12,0,24.6,26,1,INDIVIDUAL,RIGHT
32,66190721,70915447,20000,20000,20000.0,1,11.22,437.0,B,9,Electrican,10,2,69940.0,Not Verified,9,0,https://lendingclub.com/browse/loanDetail.action?loan_id=66190721,,credit_card,Credit card refinancing,984xx,WA,22.09,0,4-Feb,0,12,0,59.1,25,1,INDIVIDUAL,RIGHT
33,5787674,7219856,8000,8000,8000.0,0,13.11,269.8,B,8,Cheeseburger,3,0,52000.0,Not Verified,39,0,https://lendingclub.com/browse/loanDetail.action?loan_id=5787674,,debt_consolidation,Debt consolidation,891xx,NV,19.98,0,2-Aug,1,8,0,47.5,16,1,INDIVIDUAL,WRONG
34,42453291,45420005,21000,21000,21000.0,1,22.99,592.18,F,25,Train Dispatcher,10,2,110000.0,Verified,18,0,https://lendingclub.com/browse/loanDetail.action?loan_id=42453291,,debt_consolidation,Debt consolidation,762xx,TX,28.41,0,Jul-96,0,30,0,68.3,44,0,INDIVIDUAL,WRONG
35,54473305,58054018,16000,16000,16000.0,0,16.55,566.98,D,16,Registered Nurse,3,0,80000.0,Source Verified,14,0,https://lendingclub.com/browse/loanDetail.action?loan_id=54473305,,debt_consolidation,Debt consolidation,305xx,GA,18.14,1,Oct-95,2,8,0,44.2,28,1,INDIVIDUAL,RIGHT
36,1006283,1232686,13000,13000,12750.0,1,19.42,340.45,E,22,UCG,10,2,65000.0,Source Verified,58,0,https://lendingclub.com/browse/loanDetail.action?loan_id=1006283,Borrower added on 10/28/11 > I need to pay off some high rate credit cards..this loan will help me do that.  This years a celebrate 20years at my job and I plan to be there for 20 more years.  I love my job and the people I work with so I will be able to paid back the loan even making double paymens to paid it off.<br/>   Thanks<br/>,debt_consolidation,Debt Consolidation,207xx,MD,8.98,0,Mar-88,0,5,0,95.8,24,0,INDIVIDUAL,WRONG
37,50465553,53845283,12000,12000,12000.0,0,10.99,393.01,B,8,Relationship Banker,1,0,60000.0,Source Verified,15,0,https://lendingclub.com/browse/loanDetail.action?loan_id=50465553,,credit_card,Credit card refinancing,114xx,NY,11.56,0,9-Jul,4,22,0,21.5,23,1,INDIVIDUAL,WRONG
38,69492935,74499657,9000,9000,9000.0,0,20.5,336.75,E,23,lead supervisor,8,0,32000.0,Source Verified,8,0,https://lendingclub.com/browse/loanDetail.action?loan_id=69492935,,debt_consolidation,Debt consolidation,952xx,CA,37.25,0,11-Feb,2,12,1,54.7,13,1,INDIVIDUAL,WRONG
39,78130262,83777032,9000,9000,9000.0,0,5.32,270.95,A,0,Teacher,10,2,53000.0,Source Verified,3,0,https://lendingclub.com/browse/loanDetail.action?loan_id=78130262,,debt_consolidation,Debt consolidation,334xx,FL,21.16,0,Jan-00,0,9,0,41.0,28,1,INDIVIDUAL,RIGHT
40,75458057,80892791,4000,4000,4000.0,0,6.97,123.48,A,2,CNA,2,0,40800.0,Source Verified,6,0,https://lendingclub.com/browse/loanDetail.action?loan_id=75458057,,car,Car financing,346xx,FL,18.34,0,10-Nov,0,12,0,24.6,21,1,INDIVIDUAL,RIGHT
41,74796309,80220077,10000,10000,10000.0,0,5.32,301.2,A,0,Facility Maintenance Superintendent,10,2,76900.0,Source Verified,6,0,https://lendingclub.com/browse/loanDetail.action?loan_id=74796309,,credit_card,Credit card refinancing,836xx,ID,11.23,0,Apr-97,0,13,0,13.7,23,1,INDIVIDUAL,RIGHT
42,86091445,92251479,8000,8000,8000.0,0,8.59,253.14,A,4,Cashier/inspector,9,0,40000.0,Source Verified,1,0,https://lendingclub.com/browse/loanDetail.action?loan_id=86091445,,credit_card,Credit card refinancing,027xx,MA,18.25,0,2-May,2,8,1,35.4,23,1,INDIVIDUAL,WRONG
43,30455492,33008657,8400,8400,8400.0,0,14.99,290.87,C,14,Account Specialist,2,0,47800.0,Source Verified,23,0,https://lendingclub.com/browse/loanDetail.action?loan_id=30455492,,credit_card,Credit card refinancing,333xx,FL,21.16,0,8-Jul,0,16,0,62.3,21,0,INDIVIDUAL,RIGHT
44,65756210,70389044,25000,25000,25000.0,1,10.99,543.85,B,8,Clinical Director,3,1,75000.0,Not Verified,10,0,https://lendingclub.com/browse/loanDetail.action?loan_id=65756210,,debt_consolidation,Debt consolidation,064xx,CT,15.18,1,Oct-89,1,14,0,46.5,29,1,INDIVIDUAL,RIGHT
45,6795498,8417628,25475,25475,25475.0,1,15.88,617.8,C,13,"California Olive Ranch, Inc.",4,2,57000.0,Verified,37,0,https://lendingclub.com/browse/loanDetail.action?loan_id=6795498,,debt_consolidation,Debt consolidation,959xx,CA,28.39,0,Jul-98,0,6,0,67.0,14,1,INDIVIDUAL,RIGHT
46,6395519,7927618,8000,8000,8000.0,0,13.05,269.74,B,9,Enhance A House,1,2,63000.0,Not Verified,37,0,https://lendingclub.com/browse/loanDetail.action?loan_id=6395519,"Borrower added on 07/17/13 > Loan will be ued to complete property fencing and barn. Current on all bills, excellent credit score, pay on time. I have over 20 years exerience in my field.<br>",other,Barn/Fence,863xx,AZ,18.91,0,Mar-93,0,9,0,55.5,21,0,INDIVIDUAL,RIGHT
47,15530067,17622501,6675,6675,6675.0,0,14.16,228.83,C,11,Claims Examiner,4,0,47000.0,Verified,28,1,https://lendingclub.com/browse/loanDetail.action?loan_id=15530067,,debt_consolidation,Debt consolidation,104xx,NY,9.09,2,5-Feb,0,5,0,43.2,15,1,INDIVIDUAL,WRONG
48,16382486,18564961,8000,8000,8000.0,0,19.52,294.93,E,21,Mental Health Specialist III,6,0,42000.0,Verified,28,0,https://lendingclub.com/browse/loanDetail.action?loan_id=16382486,,other,Other,088xx,NJ,31.07,0,3-Oct,1,10,0,83.2,21,0,INDIVIDUAL,RIGHT
49,8616927,10388902,10000,10000,10000.0,0,17.1,357.54,C,14,director of transportation,10,2,95000.0,Not Verified,34,1,https://lendingclub.com/browse/loanDetail.action?loan_id=8616927,,debt_consolidation,loan for debt conslidation,078xx,NJ,2.44,0,6-Jan,2,6,1,41.2,8,0,INDIVIDUAL,RIGHT
50,8979689,10781586,15000,15000,15000.0,1,17.1,373.2,C,14,Design Engineer,5,0,70000.0,Verified,34,0,https://lendingclub.com/browse/loanDetail.action?loan_id=8979689,,debt_consolidation,Responsibility,616xx,IL,14.37,0,7-Mar,4,11,0,37.3,20,0,INDIVIDUAL,RIGHT
51,85727138,91846010,19200,19200,19200.0,0,8.99,610.79,B,5,Merchandising Manager,10,2,175000.0,Not Verified,2,0,https://lendingclub.com/browse/loanDetail.action?loan_id=85727138,,credit_card,Credit card refinancing,300xx,GA,9.02,0,1-May,0,4,1,69.2,16,0,INDIVIDUAL,RIGHT
52,55341202,58942941,28000,28000,28000.0,1,13.33,641.74,C,12,,-1,2,170000.0,Not Verified,13,0,https://lendingclub.com/browse/loanDetail.action?loan_id=55341202,,credit_card,Credit card refinancing,117xx,NY,11.85,0,Nov-00,0,15,1,87.9,35,1,INDIVIDUAL,RIGHT
53,6577837,8129884,10975,10975,10975.0,1,16.78,270.98,C,14,Montgmoery County Public Schools,7,1,60000.0,Verified,37,0,https://lendingclub.com/browse/loanDetail.action?loan_id=6577837,,small_business,Business,208xx,MD,15.05,0,Jan-96,3,7,0,2.3,19,1,INDIVIDUAL,WRONG
54,62126215,66322957,6000,6000,6000.0,0,12.29,200.1,C,10,Director of Food Service,7,0,80000.0,Not Verified,11,0,https://lendingclub.com/browse/loanDetail.action?loan_id=62126215,,debt_consolidation,Debt consolidation,159xx,PA,25.85,0,Mar-00,1,20,0,68.1,43,1,INDIVIDUAL,WRONG
55,8975493,10777587,6625,6625,6625.0,0,21.0,249.44,E,20,QA Specialist,3,0,50000.0,Source Verified,34,1,https://lendingclub.com/browse/loanDetail.action?loan_id=8975493,,debt_consolidation,Debt Loan,925xx,CA,19.27,0,5-Oct,2,15,0,94.9,23,0,INDIVIDUAL,WRONG
56,678796,867180,27300,27300,26399.46781,1,16.77,675.12,E,21,Go Wireless/Verizon Wireless,1,2,51000.0,Verified,67,1,https://lendingclub.com/browse/loanDetail.action?loan_id=678796,"Borrower added on 02/22/11 > Paying off what it took to keep my family and my home in working order while jobs were at a premium for two years and getting my life on track so we can have a baby.<br/> Borrower added on 02/22/11 > I have a credit score of 736 last time I checked, I do not want to ruin my rating I took my life to build with consolidation thank you to all that help!<br/>",debt_consolidation,Get My Life On Track Loan,212xx,MD,14.29,0,Sep-99,0,10,0,37.7,30,0,INDIVIDUAL,RIGHT
57,1608760,1880741,8500,8500,8500.0,0,10.16,274.58,B,5,US Air Force,3,2,73102.0,Not Verified,46,0,https://lendingclub.com/browse/loanDetail.action?loan_id=1608760,,credit_card,USAA PayOff,890xx,NV,11.43,2,Apr-99,0,18,0,21.3,33,0,INDIVIDUAL,WRONG
58,73241822,78539555,6300,6300,6300.0,0,5.32,189.45,A,0,Line tech,10,2,75000.0,Not Verified,6,0,https://lendingclub.com/browse/loanDetail.action?loan_id=73241822,,debt_consolidation,Debt consolidation,034xx,NH,9.5,0,3-Mar,1,8,0,24.6,19,1,INDIVIDUAL,RIGHT
59,89997169,96390943,7350,7350,7350.0,0,12.79,246.83,C,10,Consultant,2,2,117000.0,Not Verified,0,0,https://lendingclub.com/browse/loanDetail.action?loan_id=89997169,,credit_card,Credit card refinancing,751xx,TX,32.75,0,Feb-94,1,12,0,67.8,43,0,INDIVIDUAL,RIGHT
60,56120924,59782774,7500,7500,7500.0,0,8.18,235.43,B,5,Administrator,9,2,24500.0,Not Verified,13,0,https://lendingclub.com/browse/loanDetail.action?loan_id=56120924,,credit_card,Credit card refinancing,720xx,AR,33.33,0,Oct-98,0,16,0,42.6,46,1,INDIVIDUAL,RIGHT
61,90316137,96765924,21000,21000,21000.0,1,10.49,451.24,B,7,Sr Systems Engineer,10,2,87378.0,Source Verified,0,0,https://lendingclub.com/browse/loanDetail.action?loan_id=90316137,,small_business,Business,234xx,VA,14.71,0,Jul-98,2,13,0,35.7,27,1,INDIVIDUAL,RIGHT
62,34323850,36987235,20000,20000,20000.0,0,12.39,667.99,C,10,Optical Laboratory Manager,10,0,48000.0,Source Verified,22,1,https://lendingclub.com/browse/loanDetail.action?loan_id=34323850,,credit_card,Credit card refinancing,912xx,CA,22.78,0,8-Nov,0,9,0,11.2,17,0,INDIVIDUAL,WRONG
63,81466209,87129114,23450,23450,23450.0,0,7.39,728.1,A,3,Office Manager,10,2,46922.0,Source Verified,3,0,https://lendingclub.com/browse/loanDetail.action?loan_id=81466209,,home_improvement,Home improvement,770xx,TX,7.11,0,Nov-96,0,9,0,38.7,23,1,INDIVIDUAL,RIGHT
64,32899768,35532981,8000,8000,8000.0,0,12.99,269.66,C,10,Security,10,0,40000.0,Not Verified,23,0,https://lendingclub.com/browse/loanDetail.action?loan_id=32899768,,major_purchase,Major purchase,600xx,IL,10.83,0,4-Jun,0,5,0,39.6,8,1,INDIVIDUAL,RIGHT
65,68755792,73679601,15000,15000,15000.0,0,5.32,451.84,A,0,Planning Manager,9,2,88199.0,Source Verified,8,0,https://lendingclub.com/browse/loanDetail.action?loan_id=68755792,,debt_consolidation,Debt consolidation,820xx,WY,14.0,0,1-Feb,0,5,0,64.1,21,1,INDIVIDUAL,RIGHT
66,65282536,69869257,8400,8400,8400.0,0,9.17,267.93,B,6,Natural Gas Controller/CIO,10,2,88000.0,Not Verified,10,0,https://lendingclub.com/browse/loanDetail.action?loan_id=65282536,,debt_consolidation,Debt consolidation,416xx,KY,14.75,0,Sep-87,2,10,0,23.3,29,1,INDIVIDUAL,RIGHT
67,30345296,32888473,11000,11000,11000.0,0,13.98,375.69,C,12,Tax Accountant,2,2,70000.0,Source Verified,23,0,https://lendingclub.com/browse/loanDetail.action?loan_id=30345296,,debt_consolidation,Debt consolidation,331xx,FL,14.69,0,7-Aug,1,9,0,31.6,15,1,INDIVIDUAL,RIGHT
68,85177511,91270248,14000,14000,14000.0,0,10.49,454.99,B,7,Branch Manager,10,0,84000.0,Not Verified,2,0,https://lendingclub.com/browse/loanDetail.action?loan_id=85177511,,debt_consolidation,Debt consolidation,937xx,CA,24.48,0,Dec-96,0,12,0,37.3,29,1,INDIVIDUAL,RIGHT
69,75134735,80556560,12000,12000,12000.0,0,11.99,398.5,C,10,stationary engineer,10,0,80000.0,Verified,6,0,https://lendingclub.com/browse/loanDetail.action?loan_id=75134735,,debt_consolidation,Debt consolidation,606xx,IL,10.27,1,4-Nov,1,15,0,64.9,32,1,INDIVIDUAL,RIGHT
70,65117416,69654139,12000,12000,12000.0,0,7.89,375.69,A,4,Associate Director of Marketing,4,1,110000.0,Source Verified,10,0,https://lendingclub.com/browse/loanDetail.action?loan_id=65117416,,credit_card,Credit card refinancing,208xx,MD,17.39,0,2-Oct,0,13,0,64.5,30,1,INDIVIDUAL,RIGHT
71,55901021,59562830,4000,4000,4000.0,0,8.18,125.9,B,5,Server,10,0,60000.0,Not Verified,14,1,https://lendingclub.com/browse/loanDetail.action?loan_id=55901021,,car,Car financing,082xx,NJ,22.8,1,1-Oct,0,20,0,30.0,37,0,INDIVIDUAL,WRONG
72,77605295,83220010,7000,7000,7000.0,0,6.97,215.8,A,2,Software Engineer,10,2,75199.0,Source Verified,5,0,https://lendingclub.com/browse/loanDetail.action?loan_id=77605295,,home_improvement,Home improvement,068xx,CT,24.8,1,2-Jul,1,10,0,93.0,17,1,INDIVIDUAL,RIGHT
73,68618739,73521662,1800,1800,1800.0,0,9.17,57.4,B,6,PRP counselor,9,2,50000.0,Not Verified,8,0,https://lendingclub.com/browse/loanDetail.action?loan_id=68618739,,debt_consolidation,Debt consolidation,219xx,MD,23.05,0,Dec-85,0,11,0,7.3,27,1,INDIVIDUAL,RIGHT
74,4794724,6036881,17625,17625,17625.0,1,23.63,503.27,F,27,"Lifetech Resources, LLC",1,0,40000.0,Verified,40,0,https://lendingclub.com/browse/loanDetail.action?loan_id=4794724,,debt_consolidation,Debt Consolidation,913xx,CA,15.45,0,5-May,0,12,0,93.7,21,0,INDIVIDUAL,WRONG
75,27630834,30133918,12000,12000,12000.0,1,17.57,301.83,D,18,Tax Experienced Associate,1,0,56500.0,Source Verified,23,0,https://lendingclub.com/browse/loanDetail.action?loan_id=27630834,,debt_consolidation,Debt consolidation,926xx,CA,19.82,0,10-Sep,1,7,0,60.5,13,1,INDIVIDUAL,WRONG
76,44137630,47154350,2000,2000,2000.0,0,12.29,66.75,C,10,Biller,3,0,40000.0,Not Verified,17,0,https://lendingclub.com/browse/loanDetail.action?loan_id=44137630,,debt_consolidation,Debt consolidation,334xx,FL,17.85,6,1-Nov,1,12,0,42.4,28,0,INDIVIDUAL,WRONG
77,63407558,67750342,12000,12000,12000.0,1,12.69,271.23,C,11,Project Manager,10,2,105000.0,Source Verified,11,0,https://lendingclub.com/browse/loanDetail.action?loan_id=63407558,,home_improvement,Home improvement,152xx,PA,18.49,0,Oct-00,3,21,0,15.1,55,1,INDIVIDUAL,RIGHT
78,70511592,75544315,10575,10575,10575.0,0,11.47,348.6,B,9,Corporate Web Developer,10,0,69000.0,Source Verified,7,0,https://lendingclub.com/browse/loanDetail.action?loan_id=70511592,,debt_consolidation,Debt consolidation,326xx,FL,6.16,0,Aug-99,0,7,0,78.0,10,1,INDIVIDUAL,RIGHT
79,77060025,82628789,30000,30000,30000.0,0,6.97,925.88,A,2,owner,10,1,515000.0,Source Verified,5,0,https://lendingclub.com/browse/loanDetail.action?loan_id=77060025,,credit_card,Credit card refinancing,234xx,VA,2.72,0,Jul-78,0,5,0,69.4,9,1,INDIVIDUAL,RIGHT
80,49037191,52325932,13000,13000,13000.0,0,8.18,408.65,B,5,Administrative Assistant,9,2,38318.0,Source Verified,16,0,https://lendingclub.com/browse/loanDetail.action?loan_id=49037191,,credit_card,Credit card refinancing,454xx,OH,24.07,0,Jun-98,2,13,1,59.9,20,0,INDIVIDUAL,RIGHT
81,70902530,75994285,10000,10000,10000.0,0,11.99,331.89,C,10,Sales Rep,1,0,50000.0,Not Verified,7,0,https://lendingclub.com/browse/loanDetail.action?loan_id=70902530,,credit_card,Credit card refinancing,841xx,UT,15.91,0,11-Oct,0,8,0,48.7,8,0,INDIVIDUAL,RIGHT
